year,page,pdf_field_name,short_key,field_type,semantic_label,rect_x0,rect_y0,rect_x1,rect_y1
2022,1,topmostSubform[0].Page1[0].c1_01[0],c1_01,CheckBox,,95.6,67.5,103.6,75.5
2022,1,topmostSubform[0].Page1[0].c1_01[1],c1_01,CheckBox,,138.8,67.5,146.8,75.5
2022,1,topmostSubform[0].Page1[0].c1_01[2],c1_01[2],CheckBox,,232.4,67.5,240.4,75.5
2022,1,topmostSubform[0].Page1[0].c1_01[3],c1_01[3],CheckBox,,362.0,67.5,370.0,75.5
2022,1,topmostSubform[0].Page1[0].c1_01[4],c1_01[4],CheckBox,,470.0,67.5,478.0,75.5
2022,1,topmostSubform[0].Page1[0].f1_01[0],f1_01,Text,,244.8,96.0,576.0,108.0
2022,1,topmostSubform[0].Page1[0].f1_02[0],f1_02,Text,,36.0,118.0,236.6,132.0
2022,1,topmostSubform[0].Page1[0].f1_03[0],f1_03,Text,,238.6,118.0,467.0,132.0
2022,1,topmostSubform[0].Page1[0].YourSocial[0].f1_04[0],f1_04,Text,,469.0,118.0,576.0,132.0
2022,1,topmostSubform[0].Page1[0].f1_05[0],f1_05,Text,,36.0,142.0,236.6,156.0
2022,1,topmostSubform[0].Page1[0].f1_06[0],f1_06,Text,,238.6,142.0,467.0,156.0
2022,1,topmostSubform[0].Page1[0].SpousesSocial[0].f1_07[0],f1_07,Text,,469.0,142.0,576.0,156.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_08[0],f1_08,Text,,36.0,166.0,416.6,180.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_09[0],f1_09,Text,,418.6,166.0,467.0,180.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_10[0],f1_10,Text,,36.0,190.0,337.4,204.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_11[0],f1_11,Text,,339.4,190.0,402.2,204.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_12[0],f1_12,Text,,404.2,190.0,467.0,204.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_13[0],f1_13,Text,,36.0,214.0,258.2,228.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_14[0],f1_14,Text,,260.2,214.0,402.2,228.0
2022,1,topmostSubform[0].Page1[0].Address[0].f1_15[0],f1_15,Text,,404.2,214.0,467.0,228.0
2022,1,topmostSubform[0].Page1[0].c1_02[0],c1_02,CheckBox,,504.0,216.5,512.0,224.5
2022,1,topmostSubform[0].Page1[0].c1_03[0],c1_03,CheckBox,,540.0,216.5,548.0,224.5
2022,1,topmostSubform[0].Page1[0].c1_04[0],c1_04,CheckBox,,504.0,241.0,512.0,249.0
2022,1,topmostSubform[0].Page1[0].c1_04[1],c1_04,CheckBox,,540.0,241.0,548.0,249.0
2022,1,topmostSubform[0].Page1[0].c1_05[0],c1_05,CheckBox,,182.0,254.0,190.0,262.0
2022,1,topmostSubform[0].Page1[0].c1_06[0],c1_06,CheckBox,,282.8,254.0,290.8,262.0
2022,1,topmostSubform[0].Page1[0].c1_07[0],c1_07,CheckBox,,95.6,266.0,103.6,274.0
2022,1,topmostSubform[0].Page1[0].c1_08[0],c1_08,CheckBox,,117.2,283.5,125.2,291.5
2022,1,topmostSubform[0].Page1[0].c1_09[0],c1_09,CheckBox,,261.2,283.5,269.2,291.5
